Entity,Code,Year,Annual CO2 emissions,Country/Territory,2022 Population,Continent,Growth Rate,Emissions_per_Capita
Panama,PAN,2022,11899901.0,Panama,4408581,North America,1.0132,2.6992587864439828
Papua New Guinea,PNG,2022,7823140.0,Papua New Guinea,10142619,Oceania,1.0194,0.7713136025320482
Paraguay,PRY,2022,9018049.0,Paraguay,6780744,South America,1.0115,1.3299497813219316
Peru,PER,2022,60921110.0,Peru,34049588,South America,1.0099,1.789187875048591
Philippines,PHL,2022,150395980.0,Philippines,115559009,Asia,1.0147,1.3014647780511859
Poland,POL,2022,323117300.0,Poland,39857145,Europe,1.0404,8.106885227228393
Portugal,PRT,2022,41605030.0,Portugal,10270865,Europe,0.9981,4.050781506718275
Qatar,QAT,2022,101340350.0,Qatar,2695122,Asia,1.0026,37.60139615201093
Romania,ROU,2022,73521290.0,Romania,19659267,Europe,1.0171,3.739777785204301
Russia,RUS,2022,1652177300.0,Russia,144713314,Europe,0.9973,11.416899069839559
Rwanda,RWA,2022,1547760.0,Rwanda,13776698,Africa,1.0234,0.11234622403713865
Saint Kitts and Nevis,KNA,2022,224486.0,Saint Kitts and Nevis,47657,North America,1.0011,4.710451769939358
Saint Lucia,LCA,2022,470351.0,Saint Lucia,179857,North America,1.0011,2.6151386935176277
Saint Pierre and Miquelon,SPM,2022,60576.0,Saint Pierre and Miquelon,5862,North America,0.9964,10.33367451381781
Saint Vincent and the Grenadines,VCT,2022,238739.0,Saint Vincent and the Grenadines,103948,North America,0.9963,2.2967156655250704
Samoa,WSM,2022,249491.0,Samoa,222382,Oceania,1.0165,1.1219028518495202
Sao Tome and Principe,STP,2022,132255.0,Sao Tome and Principe,227380,Africa,1.0192,0.5816474623977482
Saudi Arabia,SAU,2022,662549400.0,Saudi Arabia,36408820,Asia,1.0128,18.197497199854322
Senegal,SEN,2022,11668435.0,Senegal,17316449,Africa,1.0261,0.6738353227038638
Serbia,SRB,2022,43506644.0,Serbia,7221365,Europe,0.9897,6.02471194850281
Seychelles,SYC,2022,658828.0,Seychelles,107118,Africa,1.0061,6.150488246606546
Sierra Leone,SLE,2022,1129488.0,Sierra Leone,8605718,Africa,1.022,0.13124854892990917
Singapore,SGP,2022,53252430.0,Singapore,5975689,Asia,1.0058,8.911512965283167
Sint Maarten (Dutch part),SXM,2022,634261.0,Sint Maarten,44175,North America,1.003,14.357917374080362
Slovakia,SVK,2022,34151680.0,Slovakia,5643453,Europe,1.0359,6.051557441871138
Slovenia,SVN,2022,12714800.0,Slovenia,2119844,Europe,1.0002,5.9979885312315435
